              latlon ;city
-159.3963,21.97066; Lihue
-158.0274,21.34273; Honolulu
-158.012,21.46285; Mililani
-158.0061,21.40369; Waipahu
-157.9313,21.37066; Aiea
-157.9148,21.33524; Honolulu
-157.8615,21.30846; Honolulu
-157.8609,21.30759; Honolulu
-157.8471,21.29308; Honolulu
-157.8326,21.27913; Honolulu
-157.8294,21.27954; Honolulu
-157.827,21.28014; Honolulu
-157.7876,21.27852; Honolulu
-157.7855,21.40587; Honolulu
-157.7403,21.39357; Kailua
-157.713,21.28201; Honolulu
-156.6818,20.8832; Lahaina
-156.4742,20.88891; Kahului
-156.4556,20.88118; Kahului
-156.4536,20.73723; Kihei
-155.9889,19.64723; Kailua-Kona
-151.5312,59.64204; Homer
-151.0418,60.49444; Soldotna
-149.9093,61.13995; Anchorage
-149.9055,61.19534; Anchorage
-149.8936,61.21759; Anchorage
-149.8643,61.19525; Anchorage
-149.8638,61.14473; Anchorage
-149.8446,61.13806; Anchorage
-149.838,61.13751; Anchorage
-149.8359,61.18082; Anchorage
-149.7365,61.19533; Anchorage
-149.5708,61.32361; Eagle River
-149.5525,61.34592; Eagle River
-149.1183,61.60094; Palmer
-147.8223,64.83696; Fairbanks
-147.7044,64.85064; Fairbanks
-147.6901,64.85222; Fairbanks
-131.6808,55.35173; Ketchikan
-124.29016,42.05413; Brookings
-124.1678,40.80166; Eureka
-124.1475,40.79906; Eureka
-124.1443,40.80484; Eureka
-124.101,40.94024; McKinleyville
-124.0531,44.63727; Newport
-124.0521,44.65194; Newport
-124.0212,44.94205; Lincoln City
-123.9282,46.13409; Warrenton
-123.8185,46.97266; Aberdeen
-123.8073,46.19201; Astoria
-123.8033,46.9778; Aberdeen
-123.4353,48.11716; Port Angeles
-123.3691,43.23858; Roseburg
-123.3502,43.22848; Roseburg
-123.3133,44.92958; Dallas
-123.3117,44.55088; Corvallis
-123.3096,44.92975; Dallas
-123.2763,44.58989; Corvallis
-123.2752,44.57515; Corvallis
-123.2629,44.5637; Corvallis
-123.2578,44.58364; Corvallis
-123.2518,44.5888; Corvallis
-123.2067,39.14441; Ukiah
-123.2008,39.15095; Ukiah
-123.1981,39.15154; Ukiah
-123.179,44.07006; Eugene
-123.1733,45.22856; McMinnville
-123.1423,44.04821; Eugene
-123.118,44.04059; Eugene
-123.103,44.0691; Eugene
-123.0999,44.05219; Eugene
-123.0979,44.09435; Eugene
-123.0952,45.52007; Forest Grove
-123.0903,44.04033; Eugene
-123.0897,44.04991; Eugene
-123.0896,44.04025; Eugene
-123.0811,44.62893; Albany
-123.0785,44.04556; Eugene
-123.0785,44.0709; Eugene
-123.0757,44.63245; Albany
-123.0731,44.06603; Eugene
-123.0625,44.9385; Salem
-123.0486,45.52002; Cornelias
-123.043,44.90662; Salem
-123.0424,44.90576; Salem
-123.0383,44.94117; Salem
-123.0314,44.96436; Salem
-123.031,44.88303; Salem
-123.0195,44.9918; Keizer
-122.9898,45.52261; Hillsboro
-122.9834,44.94441; Salem
-122.9832,44.94187; Salem
-122.9809,46.72892; Centralia
-122.9782,46.67444; Chehalis
-122.9661,46.14793; Longview
-122.9591,46.14731; Longview
-122.9553,45.52896; Hillsboro
-122.9461,47.04709; Olympia
-122.9369,47.03371; Olympia
-122.9365,45.51987; Hillsboro
-122.9364,46.1367; Longview
-122.9322,40.727; Weaverville
-122.9291,47.04193; Olympia
-122.9165,45.53413; Hillsboro
-122.916,46.99979; Tumwater
-122.9092,46.99991; Tumwater
-122.9058,45.4978; Tualatin
-122.903,45.55019; Hillsboro
-122.903,46.13916; Kelso
-122.8988,47.01853; Tumwater
-122.88264,45.15287; Woodburn
-122.87837,42.34523; - Inside Rogue Valley Mall
-122.8777,45.53458; Hillsboro
-122.8757,47.04603; Olympia
-122.87298,42.34381; Medford
-122.8715,38.60914; Healdsburg
-122.8675,45.53596; Hillsboro
-122.8674,45.53809; Aloha
-122.8655,45.55766; Portland
-122.8621,45.53538; Beaverton
-122.86086,42.3601; Medford
-122.85819,42.36239; Medford
-122.8566,45.3517; Sherwood
-122.85606,42.31388; Medford
-122.8465,47.04171; Olympia
-122.8436,45.361; Sherwood
-122.8427,45.36398; Sherwood
-122.8418,45.51745; Beaverton
-122.8405,45.36838; Sherwood
-122.8392,38.40824; Sebastopol
-122.8338,47.04121; Lacey
